ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç êVãªçëäîéÆÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2020/02/06,10577,10577,,254.85
2020/02/07,10678,10678,,257.94
2020/02/10,10548,10548,,255.23
2020/02/12,10658,10658,,258.21
2020/02/13,10763,10763,,261.41
2020/02/14,10724,10724,,260.65
2020/02/17,10725,10725,,260.85
2020/02/18,10738,10738,,261.94
2020/02/19,10637,10637,,259.47
2020/02/20,10848,10848,,265.45
2020/02/21,10830,10830,,265.11
2020/02/25,10332,10332,,253.35
2020/02/26,10269,10269,,251.98
2020/02/27,10151,10151,,249.94
2020/02/28,9955,9955,,245.29
2020/03/02,9557,9557,,235.65
2020/03/03,9749,9749,,240.27
2020/03/04,9743,9743,,242.41
2020/03/05,9853,9853,,245.88
2020/03/06,9741,9741,,243.58
2020/03/09,9066,9066,,227.25
2020/03/10,8633,8633,,216.81
2020/03/11,8948,8948,,225.06
2020/03/12,8726,8726,,220.10
2020/03/13,8181,8181,,207.35
2020/03/16,8421,8421,,214.12
2020/03/17,7819,7819,,198.52
2020/03/18,7853,7853,,196.53
2020/03/19,7562,7562,,189.76
2020/03/23,7809,7809,,197.24
2020/03/24,7423,7423,,188.17
2020/03/25,7888,7888,,201.42
2020/03/26,8206,8206,,210.43
2020/03/27,8226,8226,,212.40
2020/03/30,7996,7996,,207.27
2020/03/31,8006,8006,,207.98
2020/04/01,8066,8066,,210.72
2020/04/02,7838,7838,,205.20
2020/04/03,8006,8006,,212.80
2020/04/06,7993,7993,,212.85
2020/04/07,8247,8247,,220.13
2020/04/08,8434,8434,,225.76
2020/04/09,8449,8449,,227.08
2020/04/10,8513,8513,,230.56
2020/04/13,8490,8490,,230.73
2020/04/14,8409,8409,,228.53
2020/04/15,8511,8511,,231.28
2020/04/16,8448,8448,,232.90
2020/04/17,8459,8459,,234.16
2020/04/20,8608,8608,,238.90
2020/04/21,8566,8566,,238.23
2020/04/22,8368,8368,,233.80
2020/04/23,8470,8470,,236.98
2020/04/24,8483,8483,,237.70
2020/04/27,8387,8387,0,235.34
2020/04/28,8504,8504,,238.87
2020/04/30,8719,8719,,245.84
2020/05/01,8761,8761,,247.59
2020/05/07,8438,8438,,238.47
2020/05/08,8460,8460,,239.09
2020/05/11,8632,8632,,248.80
2020/05/12,8697,8697,,250.68
2020/05/13,8609,8609,,249.84
2020/05/14,8602,8602,,250.31
2020/05/15,8582,8582,,250.00
2020/05/18,8550,8550,,249.40
2020/05/19,8697,8697,,254.38
2020/05/20,8846,8846,,259.42
2020/05/21,8893,8893,,261.14
2020/05/22,8879,8879,,262.13
2020/05/25,8642,8642,,255.58
2020/05/26,8707,8707,,257.97
2020/05/27,8829,8829,,261.57
2020/05/28,8874,8874,,264.22
2020/05/29,8816,8816,,262.99
2020/06/01,8919,8919,,266.54
2020/06/02,9082,9082,,271.54
2020/06/03,9357,9357,,283.36
2020/06/04,9540,9540,,289.47
2020/06/05,9579,9579,,291.10
2020/06/08,9761,9761,,297.12
2020/06/09,9697,9697,,295.54
2020/06/10,9664,9664,,295.52
2020/06/11,9622,9622,,294.39
2020/06/12,9380,9380,,287.44
2020/06/15,9391,9391,,287.63
2020/06/16,9244,9244,,283.93
